name,company,contract_period,rental_fee,benefit
삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"92,100","486,000"
삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"73,000","513,000"
삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"61,900","549,000"
삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),지니원(개인전용),36개월,"108,700","553,000"
삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),지니원(개인전용),48개월,"85,900","531,000"
삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),지니원(개인전용),60개월,"72,600","506,000"
더함 구글 OS QLED VRR 120Hz 50인치+이동형스탠드 화이트 (UA501Q-삼탠바이미),스마트렌탈,36개월,"27,900","106,000"
더함 구글 OS QLED VRR 120Hz 50인치+이동형스탠드 화이트 (UA501Q-삼탠바이미),스마트렌탈,48개월,"21,900","111,000"
더함 구글 OS QLED VRR 120Hz 50인치+이동형스탠드 화이트 (UA501Q-삼탠바이미),스마트렌탈,60개월,"18,900","120,000"
삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),LG헬로비전,36개월,"48,900","316,000"
삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),LG헬로비전,48개월,"37,900","327,000"
삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),LG헬로비전,60개월,"31,900","344,000"
삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),지니원(개인전용),36개월,"59,500","294,000"
삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),지니원(개인전용),48개월,"47,000","281,000"
삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),지니원(개인전용),60개월,"39,800","267,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),BS ON,36개월,"61,500","326,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),BS ON,48개월,"49,000","346,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),BS ON,60개월,"42,000","371,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),렌티스,36개월,"63,900","225,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),렌티스,48개월,"50,900","239,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),렌티스,60개월,"42,600","250,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),스마트렌탈,36개월,"66,900","256,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),스마트렌탈,48개월,"52,900","270,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),스마트렌탈,60개월,"44,900","286,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),현대렌탈서비스,36개월,"63,900","279,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),현대렌탈서비스,48개월,"49,900","297,000"
삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),현대렌탈서비스,60개월,"41,900","306,000"
삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),지니원(개인전용),36개월,"47,700","211,000"
삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),지니원(개인전용),48개월,"37,700","202,000"
삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),지니원(개인전용),60개월,"31,900","191,000"
삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),현대렌탈서비스,36개월,"38,100","198,000"
삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),현대렌탈서비스,48개월,"30,400","216,000"
삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),현대렌탈서비스,60개월,"25,600","225,000"
LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"111,600","495,000"
LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"87,800","513,000"
LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"74,300","549,000"
LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),BS ON,36개월,"108,500","575,000"
LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),BS ON,48개월,"86,500","611,000"
LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),BS ON,60개월,"73,500","648,000"
LG UHD 75인치 (75UR831C0NA) (스탠드 or 벽걸이),LG헬로비전,36개월,"66,900","433,000"
LG UHD 75인치 (75UR831C0NA) (스탠드 or 벽걸이),LG헬로비전,48개월,"50,900","439,000"
LG UHD 75인치 (75UR831C0NA) (스탠드 or 벽걸이),LG헬로비전,60개월,"42,900","463,000"
LG OLED 55인치 TV (OLED55B4K) (스탠드 or 벽걸이),LG헬로비전,36개월,"66,900","433,000"
LG OLED 55인치 TV (OLED55B4K) (스탠드 or 벽걸이),LG헬로비전,48개월,"51,900","448,000"
LG OLED 55인치 TV (OLED55B4K) (스탠드 or 벽걸이),LG헬로비전,60개월,"43,900","474,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),BS ON,36개월,"48,500","256,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),BS ON,48개월,"38,500","271,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),BS ON,60개월,"32,500","287,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,36개월,"37,900","245,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,48개월,"31,900","275,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,60개월,"27,900","301,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"48,700","216,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"38,400","225,000"
LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"32,600","243,000"
삼성 2024 Crystal UHD TV 75인치 (스탠드 or 벽걸이형) (KU75UD7030FXKR),렌티스,36개월,"74,000","261,000"
삼성 2024 Crystal UHD TV 75인치 (스탠드 or 벽걸이형) (KU75UD7030FXKR),렌티스,48개월,"59,900","282,000"
삼성 2024 Crystal UHD TV 75인치 (스탠드 or 벽걸이형) (KU75UD7030FXKR),렌티스,60개월,"50,900","299,000"
아남 무빙스마트TV 27인치 (ANM27HKG),LG헬로비전,36개월,"17,900","115,000"
아남 무빙스마트TV 27인치 (ANM27HKG),LG헬로비전,48개월,"13,900","120,000"
아남 무빙스마트TV 27인치 (ANM27HKG),LG헬로비전,60개월,"11,900","128,000"
LG 올레드 OLED TV 65인치 (OLED65B5S) (스탠드 or 벽걸이),LG구독,36개월,"85,800","233,000"
LG 올레드 OLED TV 65인치 (OLED65B5S) (스탠드 or 벽걸이),LG구독,48개월,"69,800","237,000"
LG 올레드 OLED TV 65인치 (OLED65B5S) (스탠드 or 벽걸이),LG구독,60개월,"59,200","242,000"
LG 올레드 OLED TV 77인치 (OLED77B4S) (스탠드 or 벽걸이),LG구독,36개월,"146,800","400,000"
LG 올레드 OLED TV 77인치 (OLED77B4S) (스탠드 or 벽걸이),LG구독,48개월,"119,700","407,000"
LG 올레드 OLED TV 77인치 (OLED77B4S) (스탠드 or 벽걸이),LG구독,60개월,"101,600","415,000"
삼성 2024 Crystal UHD TV 75인치 (벽걸이형) (KU75UD7030FXKR),스마트렌탈,36개월,"65,900","252,000"
삼성 2024 Crystal UHD TV 75인치 (벽걸이형) (KU75UD7030FXKR),스마트렌탈,48개월,"52,900","270,000"
삼성 2024 Crystal UHD TV 75인치 (벽걸이형) (KU75UD7030FXKR),스마트렌탈,60개월,"44,000","280,000"
