id,product_id,company_id,contract_period,rental_fee,benefit
1,181,1,36개월,"92,100","486,000"
2,181,1,48개월,"73,000","513,000"
3,181,1,60개월,"61,900","549,000"
4,181,2,36개월,"108,700","553,000"
5,181,2,48개월,"85,900","531,000"
6,181,2,60개월,"72,600","506,000"
7,182,3,36개월,"27,900","106,000"
8,182,3,48개월,"21,900","111,000"
9,182,3,60개월,"18,900","120,000"
10,183,4,36개월,"48,900","316,000"
11,183,4,48개월,"37,900","327,000"
12,183,4,60개월,"31,900","344,000"
13,183,2,36개월,"59,500","294,000"
14,183,2,48개월,"47,000","281,000"
15,183,2,60개월,"39,800","267,000"
16,184,5,36개월,"61,500","326,000"
17,184,5,48개월,"49,000","346,000"
18,184,5,60개월,"42,000","371,000"
19,184,6,36개월,"63,900","225,000"
20,184,6,48개월,"50,900","239,000"
21,184,6,60개월,"42,600","250,000"
22,184,3,36개월,"66,900","256,000"
23,184,3,48개월,"52,900","270,000"
24,184,3,60개월,"44,900","286,000"
25,184,1,36개월,"63,900","279,000"
26,184,1,48개월,"49,900","297,000"
27,184,1,60개월,"41,900","306,000"
28,185,2,36개월,"47,700","211,000"
29,185,2,48개월,"37,700","202,000"
30,185,2,60개월,"31,900","191,000"
31,185,1,36개월,"38,100","198,000"
32,185,1,48개월,"30,400","216,000"
33,185,1,60개월,"25,600","225,000"
34,186,1,36개월,"111,600","495,000"
35,186,1,48개월,"87,800","513,000"
36,186,1,60개월,"74,300","549,000"
37,186,5,36개월,"108,500","575,000"
38,186,5,48개월,"86,500","611,000"
39,186,5,60개월,"73,500","648,000"
40,187,4,36개월,"66,900","433,000"
41,187,4,48개월,"50,900","439,000"
42,187,4,60개월,"42,900","463,000"
43,188,4,36개월,"66,900","433,000"
44,188,4,48개월,"51,900","448,000"
45,188,4,60개월,"43,900","474,000"
46,189,5,36개월,"48,500","256,000"
47,189,5,48개월,"38,500","271,000"
48,189,5,60개월,"32,500","287,000"
49,189,4,36개월,"37,900","245,000"
50,189,4,48개월,"31,900","275,000"
51,189,4,60개월,"27,900","301,000"
52,189,1,36개월,"48,700","216,000"
53,189,1,48개월,"38,400","225,000"
54,189,1,60개월,"32,600","243,000"
55,190,6,36개월,"74,000","261,000"
56,190,6,48개월,"59,900","282,000"
57,190,6,60개월,"50,900","299,000"
58,191,4,36개월,"17,900","115,000"
59,191,4,48개월,"13,900","120,000"
60,191,4,60개월,"11,900","128,000"
61,192,7,36개월,"85,800","233,000"
62,192,7,48개월,"69,800","237,000"
63,192,7,60개월,"59,200","242,000"
64,193,7,36개월,"146,800","400,000"
65,193,7,48개월,"119,700","407,000"
66,193,7,60개월,"101,600","415,000"
67,194,3,36개월,"65,900","252,000"
68,194,3,48개월,"52,900","270,000"
69,194,3,60개월,"44,000","280,000"
70,195,3,36개월,"98,900","378,000"
71,195,3,48개월,"78,500","400,000"
72,195,3,60개월,"66,500","424,000"
73,195,5,36개월,"70,500","373,000"
74,195,5,48개월,"56,000","396,000"
75,195,5,60개월,"48,000","424,000"
76,196,6,36개월,"205,000","724,000"
77,196,6,48개월,"165,000","777,000"
78,196,6,60개월,"141,000","830,000"
79,196,2,36개월,"210,400","1,106,000"
80,196,2,48개월,"166,300","1,063,000"
81,196,2,60개월,"140,600","1,014,000"
82,196,1,36개월,"197,500","1,044,000"
83,196,1,48개월,"156,400","1,107,000"
84,196,1,60개월,"132,300","1,170,000"
85,197,4,36개월,"26,500","171,000"
86,197,4,48개월,"20,000","172,000"
87,197,4,60개월,"16,900","182,000"
88,198,3,36개월,"29,900","114,000"
89,198,3,48개월,"23,900","122,000"
90,198,3,60개월,"19,900","126,000"
91,198,4,36개월,"27,900","180,000"
92,198,4,48개월,"21,900","189,000"
93,198,4,60개월,"18,900","204,000"
94,198,1,36개월,"28,200","126,000"
95,198,1,48개월,"22,300","135,000"
96,198,1,60개월,"18,600","135,000"
97,199,5,36개월,"86,500","458,000"
98,199,5,48개월,"68,500","483,000"
99,199,5,60개월,"58,500","516,000"
100,200,5,36개월,"27,500","145,000"
101,200,5,48개월,"21,500","151,000"
102,200,5,60개월,"18,500","162,000"
103,201,1,36개월,"200,200","882,000"
104,201,1,48개월,"158,700","936,000"
105,201,1,60개월,"133,600","981,000"
106,201,5,36개월,"192,000","1,017,000"
107,201,5,48개월,"153,000","1,080,000"
108,201,5,60개월,"130,000","1,148,000"
109,202,5,36개월,"207,000","1,097,000"
110,202,5,48개월,"165,000","1,165,000"
111,202,5,60개월,"140,000","1,237,000"
112,202,1,36개월,"217,100","963,000"
113,202,1,48개월,"171,500","1,008,000"
114,202,1,60개월,"144,400","1,062,000"
115,203,7,36개월,"93,900","255,000"
116,203,7,48개월,"76,700","261,000"
117,203,7,60개월,"65,100","266,000"
118,204,7,36개월,"117,900","321,000"
119,204,7,48개월,"96,100","327,000"
120,204,7,60개월,"81,600","333,000"
121,205,1,36개월,"59,800","261,000"
122,205,1,48개월,"47,400","279,000"
123,205,1,60개월,"40,000","297,000"
124,205,5,36개월,"64,500","341,000"
125,205,5,48개월,"51,500","363,000"
126,205,5,60개월,"43,500","383,000"
127,206,4,36개월,"118,900","770,000"
128,206,4,48개월,"92,900","802,000"
129,206,4,60개월,"77,900","841,000"
130,206,1,36개월,"110,400","486,000"
131,206,1,48개월,"87,200","513,000"
132,206,1,60개월,"73,500","540,000"
133,206,5,36개월,"112,500","596,000"
134,206,5,48개월,"89,500","632,000"
135,206,5,60개월,"76,500","675,000"
136,207,7,36개월,"96,300","262,000"
137,207,7,48개월,"78,600","267,000"
138,207,7,60개월,"66,800","273,000"
139,208,7,36개월,"55,500","151,000"
140,208,7,48개월,"45,100","153,000"
141,208,7,60개월,"38,300","156,000"
142,209,7,36개월,"113,900","310,000"
143,209,7,48개월,"92,700","315,000"
144,209,7,60개월,"78,600","321,000"
145,210,7,36개월,"151,600","413,000"
146,210,7,48개월,"123,600","421,000"
147,210,7,60개월,"104,900","428,000"
148,211,4,60개월,"10,900","47,000"
149,212,4,36개월,"26,900","161,000"
150,212,4,48개월,"20,900","163,000"
151,212,4,60개월,"17,000","162,000"
152,213,3,36개월,"39,900","152,000"
153,213,3,48개월,"31,900","162,000"
154,213,3,60개월,"26,900","171,000"
155,214,1,36개월,"74,200","324,000"
156,214,1,48개월,"58,600","342,000"
157,214,1,60개월,"49,400","360,000"
158,215,3,36개월,"28,900","110,000"
159,215,3,48개월,"23,900","122,000"
160,215,3,60개월,"20,900","133,000"
