id,name,model,brand,main_category,sub_category,image_url,detail_url,options
1,삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),KU85UD7050FXKR,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/cf7093649ef68ff085ac6723496f2f98_1.png,http://rentalplace.kr/html/dh_prod/prod_view/21514,"{'화면크기': '80인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '7만원대', '규격': '(스탠드 제외) 1901.2 x 1088.4 x 61.4 mm\n(스탠드 포함) 1901.2 x 1132.3 x 359 mm'}"
2,더함 구글 OS QLED VRR 120Hz 50인치+이동형스탠드 화이트 (UA501Q-삼탠바이미),UA501Q-삼탠바이미,더함,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/18123b8d16cba9101ba22ffca9c5ab43.png,http://rentalplace.kr/html/dh_prod/prod_view/23652,"{'화면크기': '50인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '1만원대', '제품정보': '상세페이지 참고'}"
3,삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),KU65UD7050FXKR_S,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/f5199859ce82bc58a1bd93c3a6ad4f79.png,http://rentalplace.kr/html/dh_prod/prod_view/19993,"{'화면크기': '60인치대', '형태': '스탠드만', '타입': 'UHD TV', '월렌탈료': '3만원대', '규격': '1452.9 x 879.5 x 267.4 mm'}"
4,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),KQ43LSB05BFXKR,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/1299e9fa296fd0b3afe44cbab1613368.jpg,http://rentalplace.kr/html/dh_prod/prod_view/10535,"{'화면크기': '40인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '4만원대', '규격': '564.7 x 1200 x 327 mm'}"
5,삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),KU55UD7050FXKR_S,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/fe923f3f12ecf97aad1052d898c98288.png,http://rentalplace.kr/html/dh_prod/prod_view/19992,"{'화면크기': '50인치대', '형태': '스탠드만', '타입': 'UHD TV', '월렌탈료': '2만원대', '규격': '1234.1 x 758 x 237 mm'}"
6,LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),OLED65B4S,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/48c2534a19fc9ed48f47a0cba7ccf7f4.jpg,http://rentalplace.kr/html/dh_prod/prod_view/20478,"{'화면크기': '60인치대', '형태': '스탠드 또는 벽걸이', '타입': 'OLED TV', '월렌탈료': '9만원이상', '규격': '(스탠드 제외) 1449 x 832 x 45.9 mm\n(스탠드 포함) 1449 x 896 x 235 mm'}"
7,LG UHD 75인치 (75UR831C0NA) (스탠드 or 벽걸이),75UR831C0NA,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/0b7850a8308ec1b8ebcc154febb36116.png,http://rentalplace.kr/html/dh_prod/prod_view/24865,"{'화면크기': '70인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '3만원대', '규격': '(스탠드 제외) 1678 x 964 x 59.9 mm\n(스탠드 포함) 1678 x 1027 x 361 mm'}"
8,LG OLED 55인치 TV (OLED55B4K) (스탠드 or 벽걸이),OLED55B4K,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/40e61fe0b75e687701666e5ec53d23b7.jpg,http://rentalplace.kr/html/dh_prod/prod_view/20475,"{'화면크기': '50인치대', '형태': '스탠드 또는 벽걸이', '타입': 'OLED TV', '월렌탈료': '6만원대', '규격': '(스탠드 제외) 1228 x 708 x 45.9 mm\n(스탠드 포함) 1228 x 772 x 235 mm'}"
9,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),55UT931C0NA,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/201203d3f6ad635fac4c9b2427895e5f.png,http://rentalplace.kr/html/dh_prod/prod_view/24482,"{'화면크기': '50인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '2만원대', '규격': '(스탠드 제외) 1236 x 716 x 29.7 mm\n(스탠드 포함) 1236 x 783 x 257 mm'}"
10,삼성 2024 Crystal UHD TV 75인치 (스탠드 or 벽걸이형) (KU75UD7030FXKR),KU75UD7030FXKR,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/f412fd1e50051ca89700e34d43eea6a1_2.png,http://rentalplace.kr/html/dh_prod/prod_view/19920,"{'화면크기': '70인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '4만원대', '규격': '(스탠드 미포함) 1677.5 x 962.4 x 61.1 mm\n(스탠드 포함) 1677.5 x 1006.3 x 325 mm'}"
